RX Date/Time,Angle(field 1),Motor Setpoint(field 2),Angle Error(field 3),Speed(field 4),Angle Setpoint(field 5),Speed Error(field 6),Battery voltage(field 7),Position(field 8),Speed Setpoint(field 9),Position Error(field 10),AKp(field 11),AKi(field 12),AKd(field 13),SKp(field 14),SKi(field 15),SKd(field 16)
2023/06/16/ 23:14:02::163,
Pitch: -0.4018442,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::179,
Pitch: -0.6003193,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::222,
Pitch: -0.8050547,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::222,
Pitch: -1.0042641,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::251,
Pitch: -1.1995109,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::281,
Pitch: -1.3943548,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::282,
Pitch: -1.8000122,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::308,
Pitch: -1.9905559,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::343,
Pitch: -2.1653199,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::343,
Pitch: -2.3416486,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::387,
Pitch: -2.5257523,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::387,
Pitch: -2.7175484,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::424,
Pitch: -2.9032526,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::425,
Pitch: -3.2504022,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::487,
Pitch: -3.4447870,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::487,
Pitch: -3.6380708,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::487,
Pitch: -3.8283446,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::584,
Pitch: -4.0182738,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::585,
Pitch: -4.1785316,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::585,
Pitch: -4.3579435,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::585,
Pitch: -4.7045865,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::586,
Pitch: -4.8998084,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::638,
Pitch: -5.0953617,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::638,
Pitch: -5.2691636,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::688,
Pitch: -5.4481158,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::688,
Pitch: -5.6433849,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::688,
Pitch: -5.8398056,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::705,
Pitch: -6.2343559,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::769,
Pitch: -6.4202127,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::769,
Pitch: -6.5932713,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::769,
Pitch: -6.7509303,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::793,
Pitch: -6.9256139,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::803,
Pitch: -7.1115804,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::820,
Pitch: -7.2893734,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::849,
Pitch: -7.6705141,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::862,
Pitch: -7.8490939,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::885,
Pitch: -8.0288391,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::906,
Pitch: -8.2159185,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::926,
Pitch: -8.3995771,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::949,
Pitch: -8.5643549,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::972,
Pitch: -8.7287760,,,,,,,,,,,,,,
2023/06/16/ 23:14:02::984,
Pitch: -9.0629110,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::001,
Pitch: -9.2340536,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::034,
Pitch: -9.4281607,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::042,
Pitch: -9.6110573,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::064,
Pitch: -9.7741575,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::090,
Pitch: -9.9644041,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::101,
Pitch: -10.1500406,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::120,
Pitch: -10.5212135,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::139,
Pitch: -10.6846085,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::165,
Pitch: -10.8730602,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::182,
Pitch: -11.0429926,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::202,
Pitch: -11.2254210,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::229,
Pitch: -11.3851995,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::240,
Pitch: -11.5641279,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::257,
Pitch: -11.9289551,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::287,
Pitch: -12.1104698,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::290,
Pitch: -12.2762203,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::313,
Pitch: -12.4629068,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::348,
Pitch: -12.6272383,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::351,
