General:,,,,
Name,Quantity,Unit Price,Notes,
PLA Filament,0.12,£10.00,1kg price,
PETG Filament,0.05,£13.00,1kg price,
tmc2208,2,£8.56,,
GT2 Belt,0.57,£0.95,price/m,
Wheel Coupler,2,£1.10,,
ToF ,3,£1.17,,
4010 fan,2,£2.50,,
Small Heatsink,3,£0.15,,
Motor Heatsink,2,£1.29,,
M3x6 Screws ,8,£0.00,,
M3x8 Screws,16,£0.00,,
M3x12 Screws,4,£0.00,,
M3 Nuts,28,£0.00,,
,,£33.29,,
,,,,
PCB:,,,,
Name,Quantity,Unit Price,Notes,
PCB,1,£2.00,,
CP2102N-A02-GQFN28,1,£1.68,USB to UART bridge,
ESP32 WROOM 32E,1,£3.50,MCU,
TPS54295RSAT,1,£2.14,Dual buck SMPS,
TCA9548AMRGER,1,£1.96,I2C Multiplexer,
ICM-20948,1,£7.50,IMU,
"BAT760,115",5,£0.27,Diode,
MIC5504-1.8YM5-TR,1,£0.16,1V8 LDO Regulator,
TXS0108EPW,1,£1.24,Level shifter,
TPD4S012,1,£0.45,USB ESD Protection,
31.8201,1,£0.42,Fuse,
Pin Headers,8,£0.00,,
Pin Sockets,5,£0.00,,
Molex Connectors,4,£0.07,I2C Connector,
JST SH,2,£0.10,I2C Connector,
Buttons,2,£0.08,,
Toggle Switch,1,£0.00,,
Screw Terminal,1,£0.20,,
USB-C,1,£0.42,,
1.5kΩ,3,£0.00,,
2.2kΩ,4,£0.00,,
3.3kΩ,1,£0.00,,
4.7kΩ,4,£0.00,,
10kΩ,15,£0.00,,
22.1kΩ,2,£0.00,RC0402FR-0722K1L,
33kΩ,1,£0.00,,
73.2kΩ,1,£0.01,RC0402FR-0773K2L,
124kΩ,1,£0.03,ERJ2RKF1243X,
10nF,4,£0.00,,
100nF,8,£0.00,,
1uF,1,£0.00,,
4.7uF,1,£0.00,,
10uF,6,£0.00,,
47uF,2,£0.00,,
100uF,2,£0.00,,
2.2uH,1,£0.18,IHLP1212BZER2R2M11,
3.3uH,1,£0.18,IHLP1212BZER3R3M11,
LED Red,2,£0.00,,
LED Blue,2,£0.00,,
,,£24.07,,
,,,,
,Total Cost:,£57.36,,
